nome_uo,descricao_uo
INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS,INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS - IDENE
INSTITUTO DE GEOINFORMACAO  E TECNOLOGIA,INSTITUTO DE GEOINFORMACAO  E TECNOLOGIA - IGTEC
INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS,INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS - IPEM
INSTITUTO DE TERRAS DO ESTADO DE MINAS GERAIS,INSTITUTO DE TERRAS DO ESTADO DE MINAS GERAIS - ITER
INSTITUTO ESTADUAL DE FLORESTAS,INSTITUTO ESTADUAL DE FLORESTAS - IEF
INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS,INSTITUTO ESTADUAL DO PATRIMONIO HISTORICO E ARTISTICO DE MINAS GERAIS - IEPHA
INSTITUTO MINEIRO DE AGROPECUARIA,INSTITUTO MINEIRO DE AGROPECUARIA - IMA
INSTITUTO MINEIRO DE GESTAO DAS AGUAS,INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM
INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM,INSTITUTO MINEIRO DE GESTAO DAS AGUAS - IGAM
JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS,JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS - JUCEMG
LOTERIA DO ESTADO DE MINAS GERAIS,LOTERIA DO ESTADO DE MINAS GERAIS - LEMG
MINAS GERAIS GABINETE MILITAR DO GOVERNADOR,GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS - GMG
MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA,SECRETARIA DE ESTADO DE CULTURA - SEC
MINAS GERAIS SECRETARIA DE ESTADO DA EDUCACAO,SECRETARIA DE ESTADO DE EDUCACAO - SEE
MINAS GERAIS SECRETARIA DE ESTADO DA SAUDE,SECRETARIA DE ESTADO DA SAUDE - SES
OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS,OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS - OGE
OUVIDORIA GERAL DO ESTADO DE MINAS GERAIS,OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS - OGE
POLICIA CIVIL DO ESTADO DE MINAS GERAIS,POLICIA CIVIL DO ESTADO DE MINAS GERAIS - PCMG
POLICIA MILITAR DO ESTADO DE MINAS GERAIS,POLICIA MILITAR DO ESTADO DE MINAS GERAIS - PMMG
PROCURADORIA GERAL DE JUSTICA DE MINAS GERAIS,PROCURADORIA GERAL DE JUSTICA DE MINAS GERAIS - MPMG
