codigo_uo,nome_uo
1591,1591 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO E INTEGRACAO DO NORTE E NORDESTE DE MINAS GERAIS
1221,1221 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO, CIENCIA, TECNOLOGIA E ENSINO SUPERIOR
1651,1651 - SECRETARIA DE ESTADO DE DIREITOS HUMANOS, PARTICIPACAO SOCIAL E CIDADANIA
1261,1261 - SECRETARIA DE ESTADO DE EDUCACAO
1671,1671 - SECRETARIA DE ESTADO DE ESPORTES
1191,1191 - SECRETARIA DE ESTADO DE FAZENDA
1491,1491 - SECRETARIA DE ESTADO DE GOVERNO
1371,1371 - SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL
1501,1501 - SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO
1691,1691 - SECRETARIA DE ESTADO DE SEGURANCA PUBLICA
1481,1481 - SECRETARIA DE ESTADO DE TRABALHO E DESENVOLVIMENTO SOCIAL
1411,1411 - SECRETARIA DE ESTADO DE TURISMO
1631,1631 - SECRETARIA-GERAL
2351,2351 - UNIVERSIDADE DO ESTADO DE MINAS GERAIS
2311,2311 - UNIVERSIDADE ESTADUAL DE MONTES CLAROS
2381,2381 - DEPARTAMENTO ESTADUAL DE TELECOMUNICACOES DE MINAS GERAIS
1701,1701 - SECRETARIA DE ESTADO EXTRAORDINARIA DE DESENVOLVIMENTO INTEGRADO E FORUNS REGIONAIS
1111,1111 - ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM BRASILIA
1121,1121 - SECRETARIA DE ESTADO DA CASA CIVIL DO ESTADO DE MINAS GERAIS
1141,1141 - ESCRITORIO DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS NO RIO DE JANEIRO
1161,1161 - ESCRITORIO  DE REPRESENTACAO DO GOVERNO DO ESTADO DE MINAS GERAIS EM SAO PAULO
1171,1171 - SECRETARIA DE ESTADO DE RECURSOS HUMANOS E ADMINISTRACAO
1201,1201 - SECRETARIA DE ESTADO DE PLANEJAMENTO E COORDENACAO GERAL
1211,1211 - SECRETARIA DE ESTADO DA JUSTICA E DE DIREITOS HUMANOS
1241,1241 - SECRETARIA DE ESTADO DA SEGURANCA PUBLICA
1281,1281 - SECRETARIA DE ESTADO DE ESPORTES
1291,1291 - SECRETARIA DE ESTADO DE MINAS E ENERGIA
1311,1311 - SECRETARIA DE ESTADO DE INDUSTRIA E COMERCIO
1321,1321 - SECRETARIA DE ESTADO DE SAUDE
1341,1341 - COORDENADORIA DE APOIO E ASSISTENCIA A PESSOA DEFICIENTE
1351,1351 - SECRETARIA DE ESTADO DE HABITACAO E DESENVOLVIMENTO URBANO
1381,1381 - SECRETARIA ESTADO TRABALHO,ASSIST.SOCIAL,CRIANCA E ADOLESCENTE
1421,1421 - SECRETARIA DE ESTADO DA COMUNICACAO SOCIAL
1431,1431 - SECRETARIA DE ESTADO DE GOVERNO E DE ASSUNTOS MUNICIPAIS
1461,1461 - SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO
1531,1531 - SECRETARIA DE ESTADO DE ESPORTES E DA JUVENTUDE
1561,1561 - CIDADE ADMINISTRATIVA
1581,1581 - SECRETARIA DE ESTADO DE TRABALHO E EMPREGO
1601,1601 - ESCRITORIO DE PRIORIDADES ESTRATEGICAS
1661,1661 - INTENDENCIA
1681,1681 - SECRETARIA DE ESTADO DE RECURSOS HUMANOS
1921,1921 - EGE SEPLAN - PROGRAMAS DIVERSOS
1931,1931 - EGE SEC.REC.HUMANOS E ADMINISTRACAO-OUTROS ENCARGOS
2081,2081 - FUNDACAO CENTRO TECNOLOGICO DE MINAS GERAIS
2111,2111 - FUNDACAO RURAL MINEIRA
2141,2141 - DEPARTAMENTO DE OBRAS PUBLICAS DO ESTADO DE MINAS GERAIS
2231,2231 - ADMINISTRACAO DE ESTADIOS DO ESTADO DE MINAS GERAIS
2391,2391 - IMPRENSA OFICIAL DO ESTADO DE MINAS GERAIS
2401,2401 - INSTITUTO DE GEOINFORMACAO  E TECNOLOGIA
2411,2411 - INSTITUTO DE TERRAS DO ESTADO DE MINAS GERAIS
2451,2451 - FUNDACAO CENTRO INTERNACIONAL DE EDUCACAO, CAPACITACAO E PESQUISA APLICADA EM AGUAS
3111,3111 - EMPRESA MINEIRA DE TURISMO
4011,4011 - FUNDO DE DESENVOLVIMENTO MINERO-METALURGICO
4041,4041 - FUNDO DE DESENVOLVIMENTO REGIONAL DO JAIBA
4051,4051 - FUNDO DE INCENTIVO A INDUSTRIALIZACAO
4061,4061 - FUNDO PRO-FLORESTA
